Index,Material,QTY,Own,Partial
1,COD1,2,X,
2,COD4,21,,
3,COD6,21,X,
4,COD6,10,,
6,COD8,10,,
7,COD8,6,,
8,COD12,2,X,
9,COD12,3,X,
12,COD17,21,,
13,COD17,20,X,
22,COD1,23,X,
23,COD1,13,,
24,COD4,23,X,
25,COD6,5,,
26,COD6,8,X,
28,COD8,21,X,
29,COD8,14,,
30,COD12,1,,
31,COD12,1,,
34,COD17,30,X,
39,COD29,23,,
40,COD29,5,X,
41,COD29,10,,
42,COD29,11,X,
43,COD29,3,X,
44,COD29,6,X,
45,COD29,1,,
5,COD7,12,X,
27,COD7,9,X,T
27,COD7,40,,T
10,COD14,100,X,
11,COD14,359,X,
32,COD14,418,X,T
32,COD14,32,,T
33,COD16,1,X,T
33,COD16,2,,T
14,COD18,100,X,
35,COD18,212,X,
36,COD18,444,X,T
36,COD18,476,,T
15,COD20,20,X,
16,COD20,53,X,T
37,COD20,35,,
16,COD20,4,,T
17,COD27,350,X,
18,COD27,1,X,
19,COD27,110,X,
20,COD27,20,X,
48,COD27,16,X,
49,COD27,10,X,
50,COD27,32,X,
51,COD27,21,X,
52,COD27,83,X,T
52,COD27,217,,T
21,COD28,10,X,
38,COD28,12,X,T
46,COD28,19,,
47,COD28,2,,
38,COD28,20,,T
